hashtag	count	last_usage
#vivoazzurro	960	2021-07-19T21:54:37.000Z
#azzurri	268	2021-07-19T21:19:24.000Z
#ita	240	2021-07-19T21:46:24.000Z
#mancini	215	2021-07-19T21:25:00.000Z
#rinascimentoazzurro	186	2021-07-19T21:19:24.000Z
#insigne	167	2021-07-19T21:19:24.000Z
#eng	128	2021-07-19T21:52:12.000Z
#euro2020final	69	2021-07-19T21:46:23.000Z
#olimpiadetokyo2020	60	2021-07-19T21:56:16.000Z
#italy	59	2021-07-19T21:17:40.000Z
#football	55	2021-07-19T21:42:32.000Z
#covid19	51	2021-07-19T21:41:42.000Z
#england	33	2021-07-19T21:17:40.000Z
#italiainghilterra	22	2021-07-19T21:17:40.000Z
#engden	17	2021-07-19T21:18:16.000Z
#freeiptv	12	2021-07-19T21:59:39.000Z
#iptvsports	12	2021-07-19T21:59:39.000Z
#iptvlist	12	2021-07-19T21:59:39.000Z
#freetv	12	2021-07-19T21:59:39.000Z
#iptv	12	2021-07-19T21:59:39.000Z
#goaltoken	8	2021-07-19T21:42:59.000Z
#nft	8	2021-07-19T21:42:59.000Z
#footballerttoken	7	2021-07-19T21:42:59.000Z
#binancesmartchain	7	2021-07-19T21:42:59.000Z
#euro96	4	2021-07-19T21:04:28.000Z
#nasa	3	2021-07-19T21:18:16.000Z
#jews	3	2021-07-19T21:18:16.000Z
#ilonmask	3	2021-07-19T21:18:16.000Z
#catsoftwitter	3	2021-07-19T21:18:16.000Z
#uap	3	2021-07-19T21:18:16.000Z
#vivo	3	2021-07-19T21:13:31.000Z
#ufo	3	2021-07-19T21:18:16.000Z
#juve	3	2021-07-19T21:39:07.000Z
#islam	3	2021-07-19T21:18:16.000Z
#leadership	3	2021-07-19T21:58:27.000Z
#den	3	2021-07-19T21:52:12.000Z
#spor	3	2021-07-19T21:56:49.000Z
#cryptocurrency	3	2021-07-19T21:18:16.000Z
#eredivisie	3	2021-07-19T21:35:56.000Z
#muslim	3	2021-07-19T21:18:16.000Z
#tiktok	3	2021-07-19T21:18:16.000Z
#independenceday	3	2021-07-19T21:18:16.000Z
#dancebyshotaroofnct	3	2021-07-19T21:18:16.000Z
#sugardaddyneededasap	3	2021-07-19T21:18:16.000Z
#austriangp	3	2021-07-19T21:18:16.000Z
#war	3	2021-07-19T21:18:16.000Z
#acab	3	2021-07-19T21:18:16.000Z
#blm	3	2021-07-19T21:18:16.000Z
#metoo	3	2021-07-19T21:18:16.000Z
#hamas	3	2021-07-19T21:18:16.000Z
#judaism	3	2021-07-19T21:18:16.000Z
#un	3	2021-07-19T21:18:16.000Z
#drugs	3	2021-07-19T21:18:16.000Z
#rfid	3	2021-07-19T21:18:16.000Z
#covid19vaccination	3	2021-07-19T21:18:16.000Z
#vaccine	3	2021-07-19T21:18:16.000Z
#covid19nsw	3	2021-07-19T21:18:16.000Z
#isis	3	2021-07-19T21:18:16.000Z
#thfc	2	2021-07-19T21:03:22.000Z
#spurs	2	2021-07-19T21:03:22.000Z
#europaleague	2	2021-07-19T21:29:07.000Z
#19luglio	2	2021-07-19T21:34:28.000Z
#championsleague	2	2021-07-19T21:29:07.000Z
#itscominghome	2	2021-07-19T21:39:44.000Z
#nuno	2	2021-07-19T21:03:22.000Z
#cum	2	2021-07-19T21:57:47.000Z
#copaamerica	2	2021-07-19T21:33:52.000Z
#lb19	2	2021-07-19T21:54:37.000Z
#forcedbreeding	2	2021-07-19T21:57:47.000Z
#anderton	2	2021-07-19T21:03:22.000Z
#forcedorgasm	2	2021-07-19T21:57:47.000Z
#mbappe	2	2021-07-19T21:40:22.000Z
#sexy	2	2021-07-19T21:57:47.000Z
#kane	2	2021-07-19T21:03:22.000Z
#jailbait	2	2021-07-19T21:57:47.000Z
#primapagina	2	2021-07-19T21:37:34.000Z
#inspiration	2	2021-07-19T21:11:58.000Z
#eurofinal	2	2021-07-19T21:39:44.000Z
#onlyfans	2	2021-07-19T21:57:47.000Z
#sellingpics	2	2021-07-19T21:57:47.000Z
#france	2	2021-07-19T21:14:41.000Z
#buyingpics	2	2021-07-19T21:57:47.000Z
#theking	1	2021-07-19T21:14:41.000Z
#azerbaijan	1	2021-07-19T21:53:23.000Z
#sunday	1	2021-07-19T21:14:41.000Z
#cnatona_276	1	2021-07-19T21:14:41.000Z
#ericcantona	1	2021-07-19T21:14:41.000Z
#rome	1	2021-07-19T21:14:41.000Z
#mi	1	2021-07-19T21:14:41.000Z
